A_cao,A_fru,A_mlk,A_plm,I_min,I_ngt,I_oil,B_alt,B_rfl,B_fer,C_bsl,C_fra,C_pas,C_sze,D_adt,D_old,D_ygr,E_hgr,E_ilt,E_pri,E_sec,G_chf,G_chm,G_pof,G_pom,H_lar,H_med,H_sma,L_kcw,L_oth,L_spa,L_wao,W_agr,W_ind,W_ser,deforestation_quantile,x,y
0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.632814897859006,-0.29067525267601,0.468669294559624,2085.490625,1759.23822115385,3,100.0,1.0,0.0,3600.0,-0.001637841342017,0.000787690514699,-0.001651721540838,0.001239833422005,-0.002453291788697,0.000773810315877,-0.001637841342017,0.001617021276616,-1.3879965991e-05,-3.4700147808e-05,-0.002467172220349,-0.001637841342017,-0.000822390604299,0.000808510638308,2.4796667276e-05,-0.000815450621303,-0.001686421688646,0.0,0.001596201211214,-0.000815450621303,0.000198373338208,1,188460.850235918,-2898.75217650365
0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.929569724820451,-0.29067525267601,0.678128604230631,1421.7391521197,4562.88029925187,2,0.0,1.03155529499054,65.1428571428571,13500.0,0.001557716866955,0.001311028143391,0.000940356228966,0.001064765732735,0.000272763340035,0.001083811046556,0.001338168047369,0.000172298605321,0.00081445579417,0.001508549554273,0.002325348556042,0.000171233550645,0.000593841949012,0.000222743983613,2.4796667276e-05,-2.5009678211e-05,0.003858907846734,0.0,0.000490395119414,0.00052051700186,0.000173363659997,1,212447.193071715,-2897.60283089113
0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.905896293318169,-0.29067525267601,0.725877292635959,1499.41022161918,5313.0565355043,2,0.0,1.05978154219114,99.28,11976.9230769231,0.009651071392,0.008122674189508,0.005826120264828,0.006596917286515,0.001689946744591,0.006714915856719,0.00829082261771,0.00106750219129,0.005046084523201,0.009346447885036,0.014407050795853,0.001060903654434,0.003679238259792,0.001380044268444,0.000153631524881,-0.000154951267177,0.023908449336886,0.0,0.003038317430764,0.003224942134693,0.001074100960977,1,218442.292682253,-2897.31559686559
0.555555555555556,0.444444444444444,0.444444444444444,0.444444444444444,0.91708071309121,-0.29067525267601,0.740805174603895,1347.65445499774,5224.19629127092,2,33.0,1.06091844385321,90.6666666666667,16412.7272727273,0.002848552539945,0.007011950947344,-0.000188119709492,0.000595065415837,0.000533719547093,0.003813751041889,0.003760569728911,-0.001071522478014,0.004991598427296,0.003797383978963,0.006187869235873,-0.006932183168828,0.000754570122808,0.001574569498189,0.013246825896204,-0.007666304707527,0.012825608253479,0.0,-0.005541648715734,-0.000132915563881,0.001584793790244,3,220440.527154808,-2897.21986118372
0.444444444444444,0.444444444444444,0.444444444444444,0.333333333333333,0.949248461198189,-0.29067525267601,0.755088908973829,1152.85481120585,5145.97442143727,2,23.0227272727273,1.08821023187854,93.6117647058824,43005.6818181818,0.002763595432043,0.00680282432586,-0.000182509422302,0.000577317667194,0.000517801847309,0.003700003027916,0.003648412413895,-0.001039565075189,0.004842726513743,0.003684129565954,0.006003318354487,-0.006725433282554,0.000732065644115,0.001527608721517,0.012851745821536,-0.007437660358846,0.012443087995052,0.0,-0.005376372486353,-0.000128951389343,0.001537528121844,3,222438.695600378,-2897.12412998214
0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.978618755190526,-0.291893102228642,0.768611785583038,992.237994722955,4890.49683377309,2,53.5416666666667,1.07786578398484,50.4545454545455,35723.0769230769,0.003743063192815,0.00275171501562,0.000955815776251,0.000432985252701,0.001159364939667,0.003392817219719,0.002172032603994,0.001320275128819,0.002855773782358,0.003317184746265,0.004133409820497,0.000998454866931,0.000558363099117,0.000440091709606,0.000132484274218,-0.000307607435388,0.007772414945066,0.0,0.001206571469083,0.000880183419213,0.000440091709606,2,224436.79802205,-2897.02840325034
0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.985050444809892,-0.261362038552761,0.781235924526361,956.702309888399,4734.50194653517,2,72.4854368932039,1.10326574123011,43.2465753424658,42746.017699115,0.003743063192815,0.00275171501562,0.000955815776251,0.000432985252701,0.001159364939667,0.003392817219719,0.002172032603994,0.001320275128819,0.002855773782358,0.003317184746265,0.004133409820497,0.000998454866931,0.000558363099117,0.000440091709606,0.000132484274218,-0.000307607435388,0.007772414945066,0.0,0.001206571469083,0.000880183419213,0.000440091709606,3,226434.834422904,-2896.93268097872
0.666666666666667,0.444444444444444,0.444444444444444,0.444444444444444,0.960179220327347,-0.20191153511405,0.792887111639397,1025.04082098062,4692.57080957811,2,92.8461538461538,1.12476480007172,58.0,30150.0,0.000124558806419,0.002862058579922,-0.023960933089256,0.003604963421822,-0.002097078599036,-0.074744880199432,0.050268068909645,-0.004117304459214,0.033161945641041,0.011707954108715,-0.032733514904976,-0.042498089373112,0.016593780368567,0.009230151772499,0.097387857735157,-0.046256847679615,-0.026701956987381,0.0,-0.038534488528967,-0.057635221630335,0.026259424164891,3,228432.804806011,-2896.836963157
0.444444444444444,0.444444444444444,0.444444444444444,0.333333333333333,0.928424463209605,-0.210568051785231,0.804214876468072,873.496607869742,4435.44097693351,2,37.4651162790698,1.05074252188206,75.0634920634921,103795.3125,0.000124558806419,0.002862058579922,-0.023960933089256,0.003604963421822,-0.002097078599036,-0.074744880199432,0.050268068909645,-0.004117304459214,0.033161945641041,0.011707954108715,-0.032733514904976,-0.042498089373112,0.016593780368567,0.009230151772499,0.005491704680026,-0.009139711968601,-0.026701956987381,0.0,-0.038534488528967,-0.057635221630335,0.026259424164891,2,230430.709174439,-2896.74124977537
0.555555555555556,0.444444444444444,0.444444444444444,0.444444444444444,0.895885602735163,-0.267771579325199,0.816602682306759,779.67378328742,4256.41276400367,2,82.8387096774194,1.04982354062976,77.8545454545455,88036.3636363636,0.000979863107204,0.002981250174344,-0.004772300366312,-2.2908876417e-05,-0.000586255104281,-0.006668518297374,0.006466494873166,-0.008762891404331,0.001002772711217,0.00135993771255,-0.002171125262976,-0.001758764963597,-0.000114544527605,-0.001012147869915,0.005660527385771,-0.009420679882169,0.008137783035636,0.0,-0.003265532199293,0.000897603458725,0.000907198176719,2,232428.547531245,-2896.64554082391
